DES_PIANO_TARIFFARIO_BILLING;DES_MACRO_STATO;CICLO_VITA_SIM_gg;gg_DA_ULTIMA_CHIAMATA;gg_DA_ULTIMA_RICARICA;DES_CANALE_VENDITA;MINUTI_FEB;MINUTI_GEN;MINUTI_DIC;VIDEO_FEB;VIDEO_GEN;VIDEO_DIC;MESSAGGI_FEB;MESSAGGI_GEN;MESSAGGI_DIC;WEB_FEB;WEB_GEN;WEB_DIC
TuaMatic;0;444;44;110;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;464;78;271;DISTRIBUTOR;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;409;15;365;NATIONAL CHAIN;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;421;2;365;SHOP IN SHOP;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;439;12;365;SHOP IN SHOP;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;397;36;64;SHOP IN SHOP;ALTO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;493;2;64;FLAGSHIP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;387;19;63;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;ALTO;ALTO;ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;687;50;365;FRANCHISING;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;587;56;64;SHOP IN SHOP;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;373;50;64;FRANCHISING;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;433;15;365;SHOP IN SHOP;ALTO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;446;54;150;NATIONAL CHAIN;BASSO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;1;427;12;365;FLAGSHIP;MOLTO ALTO;ALTO;ALTO;MEDIO;MEDIO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
